state_code,district_name,city_name,city_code
KL,Kasaragod,Kasaragod,KSD
KL,Kasaragod,Kanhangad,KNH
KL,Kasaragod,Nileshwar,NLSR
KL,Kasaragod,Uppala,UPL
KL,Kasaragod,Trikaripur,TKR
KL,Kasaragod,Kumbla,KMB
KL,Kasaragod,Cheruvathur,CVT
KL,Kasaragod,Bekal,BKL
KL,Kasaragod,Manjeshwaram,MJRM
KL,Kasaragod,Kudlu,KDL
KL,Kasaragod,Chengala,CGL
KL,Kasaragod,Chemnad,CMN
KL,Kasaragod,Kunjathur,KJR
KL,Kasaragod,Cherkala,CRK
KL,Kasaragod,Vallarikkundu,VLD
KL,Kasaragod,Udma,UDM
KL,Kasaragod,Mangalpady,MPY
KL,Kasaragod,Panathur,PNTR
KL,Kasaragod,Badiyadka,BDK
KL,Kasaragod,Mulleria,MLR
KL,Kannur,Kannur,KNR
KL,Kannur,Thalassery,TLY
KL,Kannur,Payyanur,PYR
KL,Kannur,Taliparamba,TBA
KL,Kannur,Mattanur,MTN
KL,Kannur,Iritty,IRT
KL,Kannur,Kuthuparamba,KBA
KL,Kannur,Panoor,PNR
KL,Kannur,Sreekandapuram,SKP
KL,Kannur,Anthoor,ATR
KL,Kannur,Chakkarakkal,CKL
KL,Kannur,Pappinisseri,PPI
KL,Kannur,Cherukunnu,CKU
KL,Kannur,Kalliasseri,KLI
KL,Kannur,Alakode,ALD
KL,Wayanad,Kalpetta,KPT
KL,Wayanad,Sultan Bathery,SBY
KL,Wayanad,Mananthavady,MDY
KL,Wayanad,Meenangadi,MGI
KL,Wayanad,Panamaram,PNM
KL,Wayanad,Vythiri,VTR
KL,Wayanad,Pulpally,PLY
KL,Wayanad,Padinjarathara,PDT
KL,Kozhikode,Kozhikode,CLT
KL,Kozhikode,Kunnamangalam,KGM
KL,Kozhikode,Vatakara,VDK
KL,Kozhikode,Koyilandy,KYD
KL,Kozhikode,Feroke,FRK
KL,Kozhikode,Ramanattukara,RNK
KL,Kozhikode,Mukkam,MKM
KL,Kozhikode,Koduvally,KVY
KL,Kozhikode,Thamarassery,TSY
KL,Kozhikode,Payyoli,PYL
KL,Kozhikode,Balussery,BLY
KL,Kozhikode,Perambra,PMB
KL,Kozhikode,Beypore,BPR
KL,Kozhikode,Cheruvannur,CVR
KL,Kozhikode,Mavoor,MVR
KL,Kozhikode,Nadapuram,NDP
KL,Kozhikode,Thiruvambady,TVY
KL,Kozhikode,Kuttiyady,KTYD
KL,Kozhikode,Atholi,ATH
KL,Kozhikode,Kakkodi,KKI
KL,Kozhikode,Chelannur,CNR
KL,Kozhikode,Pantheeramkavu,PTK
KL,Kozhikode,Olavanna,OLV
KL,Kozhikode,Nanmanda,NMD
KL,Kozhikode,Chorode,CRD
KL,Kozhikode,Edacheri,EDR
KL,Malappuram,Malappuram,MLP
KL,Malappuram,Manjeri,MJR
KL,Malappuram,Ponnani,PNI
KL,Malappuram,Perinthalmanna,PMNA
KL,Malappuram,Tirur,TIR
KL,Malappuram,Kottakkal,KTK
KL,Malappuram,Nilambur,NLR
KL,Malappuram,Kondotty,KDY
KL,Malappuram,Valanchery,VLY
KL,Malappuram,Parappanangadi,PPG
KL,Malappuram,Tanur,TNR
KL,Malappuram,Tirurangadi,TRG
KL,Malappuram,Edappal,EDP
KL,Malappuram,Kuttippuram,KTP
KL,Malappuram,Wandoor,WDR
KL,Palakkad,Palakkad,PKD
KL,Palakkad,Ottapalam,OTP
KL,Palakkad,Shoranur,SRR
KL,Palakkad,Chittur-Thathamangalam,CTM
KL,Palakkad,Pattambi,PTB
KL,Palakkad,Cherpulassery,CPY
KL,Palakkad,Mannarkkad,MKD
KL,Palakkad,Alathur,ALR
KL,Palakkad,Kollengode,KGD
KL,Palakkad,Nenmara,NMR
KL,Palakkad,Vadakkencherry,VKY
KL,Palakkad,Koduvayur,KVR
KL,Palakkad,Thrithala,TTL
KL,Palakkad,Pudussery,PSY
KL,Palakkad,Kuzhalmannam,KZM
KL,Thrissur,Thrissur,TCR
KL,Thrissur,Guruvayur,GVR
KL,Thrissur,Chalakudy,CKY
KL,Thrissur,Kunnamkulam,KKM
KL,Thrissur,Kodungallur,KDR
KL,Thrissur,Chavakkad,CKD
KL,Thrissur,Irinjalakuda,IJK
KL,Thrissur,Wadakkanchery,WKY
KL,Thrissur,Punnayurkulam,PNK
KL,Thrissur,Triprayar,TPR
KL,Thrissur,Pudukkad,PDK
KL,Thrissur,Mala,MLA
KL,Thrissur,Cherpu,CRP
KL,Thrissur,Kechery,KCY
KL,Thrissur,Pavaratty,PVT
KL,Ernakulam,Aluva,ALV
KL,Ernakulam,Angamaly,AMY
KL,Ernakulam,Eloor,ELR
KL,Ernakulam,Kalamassery,KLY
KL,Ernakulam,Kochi,COK
KL,Ernakulam,Kothamangalam,KMM
KL,Ernakulam,Maradu,MRD
KL,Ernakulam,Muvattupuzha,MVPA
KL,Ernakulam,North Paravur,NPR
KL,Ernakulam,Perumbavoor,PBR
KL,Ernakulam,Piravom,PVM
KL,Ernakulam,Thrikkakara,TKA
KL,Ernakulam,Thripunithura,TPRA
KL,Ernakulam,Kakkanad,KKD
KL,Ernakulam,Nedumbassery,NBY
KL,Ernakulam,Kalady,KLD
KL,Ernakulam,Edathala,EDL
KL,Ernakulam,Choornikkara,CKA
KL,Ernakulam,Cheranallur,CRL
KL,Ernakulam,Kunnathunad,KTD
KL,Ernakulam,Vazhakkala,VZK
KL,Ernakulam,Varappuzha,VZP
KL,Ernakulam,Kadamakkudy,KDMK
KL,Ernakulam,Mulavukad,MVD
KL,Ernakulam,Kumbalangy,KBG
KL,Alappuzha,Alappuzha,ALP
KL,Alappuzha,Cherthala,CTL
KL,Alappuzha,Kayamkulam,KYM
KL,Alappuzha,Mavelikkara,MVK
KL,Alappuzha,Chengannur,CGR
KL,Alappuzha,Haripad,HPD
KL,Alappuzha,Ambalappuzha,AMP
KL,Alappuzha,Aroor,ARR
KL,Alappuzha,Mannar,MNAR
KL,Alappuzha,Kuttanad,KTND
KL,Alappuzha,Vallikunnam,VKNM
KL,Alappuzha,Thaneermukkam,TKM
KL,Idukki,Kattappana,KPN
KL,Idukki,Thodupuzha,TDZ
KL,Idukki,Munnar,MNR
KL,Idukki,Adimali,ADL
KL,Idukki,Kumily,KMY
KL,Idukki,Nedumkandam,NDM
KL,Idukki,Peermade,PMD
KL,Idukki,Vagamon,VGM
KL,Idukki,Painavu,PNV
KL,Idukki,Devikulam,DKL
KL,Idukki,Udumbanchola,UBC
KL,Idukki,Vandiperiyar,VPR
KL,Idukki,Rajakkad,RJD
KL,Idukki,Cheruthoni,CTN
KL,Idukki,Marayoor,MYR
KL,Idukki,Murickassery,MSY
KL,Kottayam,Kottayam,KTM
KL,Kottayam,Changanassery,CHY
KL,Kottayam,Pala,PLA
KL,Kottayam,Ettumanoor,ETR
KL,Kottayam,Vaikom,VKM
KL,Kottayam,Erattupetta,ETP
KL,Kottayam,Kanjirappally,KJY
KL,Kottayam,Pampady,PMP
KL,Kottayam,Athirampuzha,ATP
KL,Kottayam,Puthuppally,PPL
KL,Kottayam,Kumarakom,KMK
KL,Kottayam,Kaduthuruthy,KDT
KL,Kottayam,Ponkunnam,PKM
KL,Kottayam,Mundakayam,MDK
KL,Kollam,Kollam,QLN
KL,Kollam,Karunagappally,KPY
KL,Kollam,Punalur,PLR
KL,Kollam,Paravur,PVR
KL,Kollam,Kottarakkara,KTR
KL,Kollam,Chavara,CHV
KL,Kollam,Kundara,KNDR
KL,Kollam,Anchal,ACL
KL,Kollam,Pathanapuram,PPM
KL,Kollam,Kottiyam,KTYM
KL,Kollam,Oachira,OCR
KL,Kollam,Sasthamkotta,STK
KL,Kollam,Chathannoor,CTNR
KL,Kollam,Mayyanad,MYD
KL,Kollam,Kadakkal,KKL
KL,Pathanamthitta,Pathanamthitta,PTA
KL,Pathanamthitta,Thiruvalla,TVL
KL,Pathanamthitta,Adoor,ADR
KL,Pathanamthitta,Ranni,RNI
KL,Pathanamthitta,Konni,KNI
KL,Pathanamthitta,Kozhencherry,KZY
KL,Pathanamthitta,Mallappally,MLPY
KL,Pathanamthitta,Aranmula,AML
KL,Pathanamthitta,Pandalam,PDL
KL,Pathanamthitta,Kulanada,KND
KL,Pathanamthitta,Vadaserikara,VSK
KL,Pathanamthitta,Chittar,CTR
KL,Pathanamthitta,Kumbanad,KBD
KL,Pathanamthitta,Pullad,PLD
KL,Thiruvananthapuram,Thiruvananthapuram,TVM
KL,Thiruvananthapuram,Neyyattinkara,NYA
KL,Thiruvananthapuram,Varkala,VKL
KL,Thiruvananthapuram,Attingal,ATL
KL,Thiruvananthapuram,Nedumangad,NDD
KL,Thiruvananthapuram,Kazhakoottam,KZT
KL,Thiruvananthapuram,Kattakada,KTKD
KL,Thiruvananthapuram,Kilimanoor,KLR
KL,Thiruvananthapuram,Kovalam,KVM
KL,Thiruvananthapuram,Vizhinjam,VZM
KL,Thiruvananthapuram,Balaramapuram,BPM
KL,Thiruvananthapuram,Parassala,PRL
KL,Thiruvananthapuram,Chirayinkeezhu,CYZ
KL,Thiruvananthapuram,Kaniyapuram,KPM
KL,Thiruvananthapuram,Vattiyoorkavu,VTK
