state_code,district_code,city_name,city_code
KL,KZD,Kozhikode,CLT
KL,KZD,Kunnamangalam,KGM
KL,KZD,Vatakara,VDK
KL,KZD,Koyilandy,KYD
KL,KZD,Feroke,FRK
KL,KZD,Ramanattukara,RNK
KL,KZD,Mukkam,MKM
KL,KZD,Koduvally,KVY
KL,KZD,Thamarassery,TSY
KL,KZD,Payyoli,PYL
KL,KZD,Balussery,BLY
KL,KZD,Perambra,PMB
KL,KZD,Beypore,BPR
KL,KZD,Cheruvannur,CVR
KL,KZD,Mavoor,MVR
KL,KZD,Nadapuram,NDP
KL,KZD,Thiruvambady,TVY
KL,KZD,Kuttiyady,KTYD
KL,KZD,Atholi,ATH
KL,KZD,Kakkodi,KKI
KL,KZD,Chelannur,CNR
KL,KZD,Pantheeramkavu,PTK
KL,KZD,Olavanna,OLV
KL,KZD,Nanmanda,NMD
KL,KZD,Chorode,CRD
KL,KZD,Edacheri,EDR
