route_direction_id,stop_code,stop_order,minutes_from_previous_stop
2,AMB,1,2
2,KPR,2,2
2,THK,3,2
2,IRV,4,2
2,KTK,5,2
2,VLP,6,2
2,TVK,7,2
2,TVKPO,8,2
2,TVKGS,9,2
2,KBP,10,2
2,MLK,11,2
2,MLK2,12,2
2,BSR,13,2
2,PRP,14,2
2,BNR,15,2
2,KPMSJ,16,2
2,KPM,17,2
2,ABR,18,2
2,VNG,19,2
2,ARY,20,2
2,KLK,21,2
2,CGM,22,2
2,KMP,23,2
2,MES,24,2
2,KTP,25,2
2,MKDKP,26,2
2,MKDBS,27,2
2,MKDPS,28,2
2,MKDTR,29,2
2,MKDHJ,30,2
2,MKDKS,31,2
4,TVK,1,0
4,TVKPO,2,2
4,TVKGS,3,2
4,KBP,4,2
4,MLK,5,2
4,MLK2,6,2
4,BSR,7,2
4,PRP,8,2
4,BNR,9,2
4,KPMSJ,10,2
4,KPM,11,2
4,ABR,12,2
4,VNG,13,2
4,ARY,14,2
4,KLK,15,2
4,CGM,16,2
4,KMP,17,2
4,MES,18,2
4,KTP,19,2
4,MKDKP,20,2
4,MKDBS,21,2
4,MKDPS,22,2
4,MKDTR,23,2
4,MKDHJ,24,2
4,MKDKS,25,2
