route_direction_id,stop_code,stop_order,minutes_from_previous_stop
2,S-10001,1,0
2,S-10002,2,2
2,S-10003,3,2
2,S-10004,4,2
2,S-10005,5,2
2,S-10006,6,2
2,S-10007,7,2
2,S-10008,8,2
2,S-10009,9,2
2,S-10010,10,2
2,S-10011,11,2
2,S-10012,12,2
2,S-10013,13,2
2,S-10014,14,2
2,S-10015,15,2
2,S-10016,16,2
2,S-10017,17,2
2,S-10018,18,2
2,S-10019,19,2
2,S-10020,20,2
2,S-10021,21,2
2,S-10022,22,2
2,S-10023,23,2
2,S-10024,24,2
2,S-10025,25,2
2,S-10026,26,2
2,S-10027,27,2
2,S-10028,28,2
2,S-10029,29,2
2,S-10030,30,2
2,S-10031,31,2
